City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,bathsheba,13.2167,-59.5167,29.34,79,75,2.06,BB,1670265731
214,spearfish,44.4908,-103.8594,-4.38,71,100,1.54,US,1670265732
215,vrangel,42.7297,133.0839,-6.38,54,6,4.96,RU,1670265732
216,vao,-22.6667,167.4833,25.29,86,100,6.03,NC,1670265733
217,kampot,10.6167,104.1833,24.03,89,100,1.23,KH,1670265733
218,veraval,20.9,70.3667,22.52,36,0,5.11,IN,1670265734
219,dzilam gonzalez,21.2833,-88.9333,31.02,43,57,2.39,MX,1670265734
220,marawi,7.9986,124.2928,19.96,93,100,0.41,PH,1670265735
221,komsomolskiy,40.4272,71.7189,-0.6,86,100,3.09,UZ,1670265736
222,lyantonde,-0.4031,31.1572,17.25,90,100,2.02,UG,1670265736
223,jacareacanga,-6.2222,-57.7528,27.01,88,100,1.54,BR,1670265737
224,ternate,0.8,127.4,26.53,81,100,2.19,ID,1670265738
225,yuancheng,36.652,107.7896,-2.32,59,100,1.37,CN,1670265738
226,maragogi,-9.0122,-35.2225,26.05,81,86,5.21,BR,1670265739
227,kruisfontein,-34.0033,24.7314,16.6,85,1,3.81,ZA,1670265739
228,salym,60.0625,71.4789,-21.94,100,97,1.41,RU,1670265740
229,derzhavinsk,51.1,66.3167,-18.04,88,99,3.49,KZ,1670265741
230,grindavik,63.8424,-22.4338,-1.74,100,20,2.06,IS,1670265743
231,matagami,49.7502,-77.6328,-8.94,73,75,5.66,CA,1670265744
232,mlonggo,-6.5333,110.7,25.64,85,100,1.26,ID,1670265744
233,los llanos de aridane,28.6585,-17.9182,18.86,89,40,2.06,ES,1670265745
234,menongue,-14.6585,17.691,20.02,71,100,1.65,AO,1670265746
235,pueblo nuevo,23.3833,-105.3833,23.06,35,84,3.01,MX,1670265746
236,norman wells,65.282,-126.8329,-29.98,76,75,4.12,CA,1670265747
237,labuhan,-6.8844,112.2051,26.46,80,100,1.12,ID,1670265747
238,yar-sale,66.8333,70.8333,-15.93,95,17,3.26,RU,1670265748
239,chokurdakh,70.6333,147.9167,-36.82,99,51,3.86,RU,1670265748
240,hambantota,6.1241,81.1185,23.19,100,40,0.51,LK,1670265636
241,port hardy,50.6996,-127.4199,0.1,100,75,1.54,CA,1670265645
242,saldanha,-33.0117,17.9442,18.03,75,100,6.61,ZA,1670265750
243,balkanabat,39.5108,54.3671,-0.67,47,0,1.48,TM,1670265751
244,khilok,51.3674,110.4676,-13.12,84,100,7.49,RU,1670265751
245,santa isabel do rio negro,-0.4139,-65.0192,31.03,58,96,0.57,BR,1670265691
246,lebu,-37.6167,-73.65,17.44,67,3,2.88,CL,1670265752
247,olot,42.181,2.4901,9.03,81,73,0.45,ES,1670265753
248,broken hill,-31.95,141.4333,15.98,47,96,5.38,AU,1670265753
249,eugene,44.0521,-123.0867,2.79,95,100,0.89,US,1670265753
250,antalaha,-14.9003,50.2788,24.04,84,35,3.77,MG,1670265754
251,port blair,11.6667,92.75,27.02,83,100,3.6,IN,1670265481
252,upernavik,72.7868,-56.1549,-2.38,87,37,5.02,GL,1670265755
253,mahoba,25.2833,79.8667,14.52,45,0,1.35,IN,1670265755
254,zwedru,6.0667,-8.1281,23.93,91,67,1.37,LR,1670265756
255,vestmannaeyjar,63.4427,-20.2734,4.55,81,0,1.54,IS,1670265756
256,manokwari,-0.8667,134.0833,25.9,80,100,1.67,ID,1670265757
257,kargopol,61.5071,38.9456,-9.34,96,96,3.16,RU,1670265757
258,leningradskiy,69.3833,178.4167,-24.81,89,3,2.67,RU,1670265758
259,racine,42.7495,-88.0751,4.94,62,100,2.24,US,1670265562
260,tateyama,34.9833,139.8667,6.72,92,100,10.5,JP,1670265759
261,vardo,70.3705,31.1107,-3.01,80,100,6.69,NO,1670265760
262,machinga,-15.1685,35.3,22.65,74,75,1.13,MW,1670265760
263,porto novo,6.4965,2.6036,27.9,80,70,3.95,BJ,1670265466
264,zhigansk,66.7697,123.3711,-28.38,98,100,0.33,RU,1670265761
265,pacasmayo,-7.4006,-79.5714,21.62,69,12,5.49,PE,1670265762
266,sao joaquim,-28.2939,-49.9317,18.58,94,33,2.84,BR,1670265763
267,liling,27.6667,113.5,5.05,94,100,0.46,CN,1670265763
268,ancud,-41.8697,-73.8203,13.23,94,100,8.88,CL,1670265697
269,olafsvik,64.8945,-23.7142,4.32,78,23,2.36,IS,1670265764
270,malmesbury,-33.4608,18.7271,15.99,66,100,3.1,ZA,1670265764
271,mount isa,-20.7333,139.5,18.87,59,0,0.0,AU,1670265765
272,hirara,24.8,125.2833,21.76,80,100,14.93,JP,1670265765
273,bandarbeyla,9.4942,50.8122,25.59,75,24,8.95,SO,1670265766
274,korla,41.7597,86.1469,-5.6,41,35,0.93,CN,1670265766
275,katsuura,35.1333,140.3,9.49,94,100,8.63,JP,1670265767
276,sorsk,54.0033,90.2467,-21.31,90,7,1.27,RU,1670265768
277,nampa,43.5407,-116.5635,-1.47,96,100,2.06,US,1670265768
278,mundo nuevo,18.7,-95.5,24.93,77,38,2.61,MX,1670265769
279,talcahuano,-36.7167,-73.1167,19.82,60,0,5.14,CL,1670265769
280,okha,53.5739,142.9478,-18.4,92,42,5.73,RU,1670265770
281,comodoro rivadavia,-45.8667,-67.5,24.92,25,0,10.8,AR,1670265770
282,araripina,-7.5761,-40.4983,29.52,40,86,3.71,BR,1670265685
283,ballina,-28.8667,153.5667,17.79,99,1,2.21,AU,1670265771
284,bilibino,68.0546,166.4372,-22.4,68,100,2.36,RU,1670265755
